with
"tensor(54, device='cuda:0')"
"tensor(67, device='cuda:0')"
"tensor(73, device='cuda:0')"
"tensor(76, device='cuda:0')"
"tensor(80, device='cuda:0')"
"tensor(81, device='cuda:0')"
"tensor(82, device='cuda:0')"
"tensor(84, device='cuda:0')"
"tensor(83, device='cuda:0')"
"tensor(83, device='cuda:0')"
"tensor(85, device='cuda:0')"
"tensor(85, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
