with
"tensor(42, device='cuda:0')"
"tensor(52, device='cuda:0')"
"tensor(57, device='cuda:0')"
"tensor(60, device='cuda:0')"
"tensor(67, device='cuda:0')"
"tensor(69, device='cuda:0')"
"tensor(70, device='cuda:0')"
"tensor(70, device='cuda:0')"
"tensor(76, device='cuda:0')"
"tensor(76, device='cuda:0')"
"tensor(77, device='cuda:0')"
"tensor(78, device='cuda:0')"
"tensor(79, device='cuda:0')"
"tensor(80, device='cuda:0')"
"tensor(78, device='cuda:0')"
"tensor(80, device='cuda:0')"
"tensor(80, device='cuda:0')"
"tensor(83, device='cuda:0')"
"tensor(83, device='cuda:0')"
"tensor(84, device='cuda:0')"
"tensor(84, device='cuda:0')"
"tensor(84, device='cuda:0')"
"tensor(83, device='cuda:0')"
"tensor(85, device='cuda:0')"
"tensor(83, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(83, device='cuda:0')"
"tensor(85, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(85, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(87, device='cuda:0')"
