with
"tensor(57, device='cuda:0')"
"tensor(71, device='cuda:0')"
"tensor(77, device='cuda:0')"
"tensor(80, device='cuda:0')"
"tensor(80, device='cuda:0')"
"tensor(83, device='cuda:0')"
"tensor(83, device='cuda:0')"
"tensor(85, device='cuda:0')"
"tensor(85, device='cuda:0')"
"tensor(84, device='cuda:0')"
"tensor(85, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(85, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(90, device='cuda:0')"
